NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA
30.0,1393,2,3,18,23,28,29,12.0,8900000.0,23/01/2024
30.0,1392,2,6,20,26,30,32,5.0,7300000.0,20/01/2024
30.0,1391,8,12,14,16,19,29,25.0,5700000.0,16/01/2024
30.0,1390,7,10,18,19,24,25,13.0,5200000.0,13/01/2024
30.0,1389,8,16,18,35,37,39,28.0,5100000.0,09/01/2024
30.0,1388,4,10,14,21,28,38,3.0,5000000.0,06/01/2024
30.0,1387,9,16,20,32,34,36,27.0,11300000.0,02/01/2024
30.0,1386,1,13,23,24,26,39,7.0,9300000.0,30/12/2023
30.0,1385,8,15,19,25,33,35,36.0,7900000.0,26/12/2023
30.0,1384,5,11,16,17,22,37,26.0,6000000.0,23/12/2023
30.0,1383,1,6,8,10,22,33,37.0,5200000.0,19/12/2023
30.0,1382,6,14,15,19,31,35,20.0,5100000.0,16/12/2023
30.0,1381,2,4,6,10,19,25,12.0,5000000.0,12/12/2023
30.0,1380,2,17,25,28,29,33,1.0,5700000.0,09/12/2023
30.0,1379,4,17,26,29,32,39,37.0,5200000.0,05/12/2023
30.0,1378,7,13,20,22,29,37,35.0,5100000.0,02/12/2023
30.0,1377,1,9,17,29,33,38,12.0,5000000.0,28/11/2023
30.0,1376,3,4,9,18,19,31,11.0,13700000.0,25/11/2023
30.0,1375,16,25,26,29,33,39,27.0,11900000.0,21/11/2023
30.0,1374,1,4,5,17,28,39,33.0,10000000.0,18/11/2023
30.0,1373,2,18,21,29,32,33,31.0,8300000.0,14/11/2023
30.0,1372,8,13,14,28,29,39,22.0,6900000.0,11/11/2023
30.0,1371,3,20,21,22,26,32,5.0,5300000.0,07/11/2023
30.0,1370,4,7,9,23,29,33,14.0,5200000.0,04/11/2023
30.0,1369,4,7,13,14,24,35,29.0,5100000.0,31/10/2023
30.0,1368,2,11,17,21,31,38,5.0,5000000.0,28/10/2023
30.0,1367,3,12,22,23,33,37,14.0,6900000.0,24/10/2023
30.0,1366,1,4,7,17,29,30,13.0,5500000.0,21/10/2023
30.0,1365,5,6,7,26,27,36,3.0,5200000.0,17/10/2023
30.0,1364,6,8,13,19,21,39,22.0,5100000.0,14/10/2023
30.0,1363,5,8,13,18,27,39,34.0,5000000.0,10/10/2023
30.0,1362,2,7,13,16,31,33,22.0,10000000.0,07/10/2023
30.0,1361,6,7,11,23,32,38,13.0,8500000.0,03/10/2023
30.0,1360,11,14,17,20,27,35,10.0,6700000.0,30/09/2023
30.0,1359,2,15,22,28,37,38,14.0,5300000.0,26/09/2023
30.0,1358,5,7,11,21,25,37,17.0,5200000.0,23/09/2023
30.0,1357,3,9,14,15,21,30,34.0,5100000.0,19/09/2023
30.0,1356,1,5,9,22,35,36,21.0,5000000.0,16/09/2023
30.0,1355,12,17,21,22,24,34,5.0,8500000.0,12/09/2023
30.0,1354,4,9,12,30,32,39,33.0,7000000.0,09/09/2023
30.0,1353,2,16,22,23,35,36,17.0,5500000.0,05/09/2023
30.0,1352,3,15,17,21,23,30,36.0,5200000.0,02/09/2023
30.0,1351,6,9,15,29,33,36,26.0,5100000.0,29/08/2023
30.0,1350,7,13,16,34,38,39,3.0,5000000.0,26/08/2023
30.0,1349,11,22,23,26,28,35,7.0,5500000.0,22/08/2023
30.0,1348,3,4,5,11,33,38,30.0,5200000.0,19/08/2023
30.0,1347,6,7,12,20,24,36,14.0,5100000.0,15/08/2023
30.0,1346,5,8,17,23,31,39,11.0,5000000.0,12/08/2023
30.0,1345,8,27,31,32,37,39,14.0,8700000.0,08/08/2023
30.0,1344,2,3,7,30,31,38,23.0,6900000.0,05/08/2023
30.0,1343,3,19,20,27,28,32,15.0,5700000.0,01/08/2023
30.0,1342,4,8,9,10,15,17,2.0,5200000.0,29/07/2023
30.0,1341,13,16,19,26,31,35,25.0,5100000.0,25/07/2023
30.0,1340,2,5,13,17,23,25,15.0,5000000.0,22/07/2023
